epoch,lr-AdamW,step,train_loss,val_acc,val_loss
,0.0001,9,,,
,0.0001,9,,,
0,,9,1.894312858581543,,
,0.0001,19,,,
,0.0001,19,,,
0,,19,1.5851380825042725,,
,0.0001,29,,,
,0.0001,29,,,
0,,29,0.9762786626815796,,
,0.0001,39,,,
,0.0001,39,,,
0,,39,0.9926624298095703,,
,0.0001,49,,,
,0.0001,49,,,
0,,49,0.9846163988113403,,
,0.0001,59,,,
,0.0001,59,,,
0,,59,0.9136142134666443,,
,0.0001,69,,,
,0.0001,69,,,
0,,69,0.9058007001876831,,
,0.0001,79,,,
,0.0001,79,,,
0,,79,0.7276836633682251,,
,0.0001,89,,,
,0.0001,89,,,
0,,89,0.7970670461654663,,
,0.0001,99,,,
,0.0001,99,,,
0,,99,0.7753782272338867,,
,0.0001,109,,,
,0.0001,109,,,
0,,109,0.9316277503967285,,
,0.0001,119,,,
,0.0001,119,,,
0,,119,0.7135854959487915,,
,0.0001,129,,,
,0.0001,129,,,
0,,129,0.8373028039932251,,
,0.0001,139,,,
,0.0001,139,,,
0,,139,0.859757661819458,,
,0.0001,149,,,
,0.0001,149,,,
0,,149,0.7982838749885559,,
,0.0001,159,,,
,0.0001,159,,,
0,,159,0.6517035961151123,,
,0.0001,169,,,
,0.0001,169,,,
0,,169,0.7607016563415527,,
,0.0001,179,,,
,0.0001,179,,,
0,,179,0.849934995174408,,
,0.0001,189,,,
,0.0001,189,,,
0,,189,0.9878240823745728,,
,0.0001,199,,,
,0.0001,199,,,
0,,199,0.6915478110313416,,
,0.0001,209,,,
,0.0001,209,,,
0,,209,0.9541137218475342,,
,0.0001,219,,,
,0.0001,219,,,
0,,219,0.8549514412879944,,
,0.0001,229,,,
,0.0001,229,,,
0,,229,0.7233216762542725,,
,0.0001,239,,,
,0.0001,239,,,
0,,239,0.6583995819091797,,
,0.0001,249,,,
,0.0001,249,,,
0,,249,0.6733857989311218,,
,0.0001,259,,,
,0.0001,259,,,
0,,259,0.9687614440917969,,
,0.0001,269,,,
,0.0001,269,,,
0,,269,0.6223505735397339,,
,0.0001,279,,,
,0.0001,279,,,
0,,279,1.1487467288970947,,
,0.0001,289,,,
,0.0001,289,,,
0,,289,0.8713681697845459,,
,0.0001,299,,,
,0.0001,299,,,
0,,299,0.8137894868850708,,
,0.0001,309,,,
,0.0001,309,,,
0,,309,0.6970545053482056,,
,0.0001,319,,,
,0.0001,319,,,
0,,319,0.6462811827659607,,
,0.0001,329,,,
,0.0001,329,,,
0,,329,0.7600865364074707,,
,0.0001,339,,,
,0.0001,339,,,
0,,339,0.7964468002319336,,
,0.0001,349,,,
,0.0001,349,,,
0,,349,0.8130273818969727,,
,0.0001,359,,,
,0.0001,359,,,
0,,359,0.7858312129974365,,
,0.0001,369,,,
,0.0001,369,,,
0,,369,0.7442731857299805,,
,0.0001,379,,,
,0.0001,379,,,
0,,379,0.6316233277320862,,
0,,387,,0.9708737730979919,1.257969856262207
,9.755282581475769e-05,389,,,
,9.755282581475769e-05,389,,,
1,,389,0.8841516971588135,,
,9.755282581475769e-05,399,,,
,9.755282581475769e-05,399,,,
1,,399,0.6582873463630676,,
,9.755282581475769e-05,409,,,
,9.755282581475769e-05,409,,,
1,,409,0.7957398891448975,,
,9.755282581475769e-05,419,,,
,9.755282581475769e-05,419,,,
1,,419,0.6700806617736816,,
